Sentence,Sentiment
good thing successful steal idea guilt,2
well done,2
china far outpace west ev west controlled oil industry suppressed ev technology year new kid block know play game west created,2
good information get,2
wow time,2
feel like video made ai,2
future waiting neuclear diamond battery,2
good video said 2 time energy density 160 kwh kg 11000 160wh per kg 160 kwh kg power suv 400 g battery,2
byd ev burning world might cracked might safe doubt sale talk boost thing,2
good know,2
better start buying table salt,2
like diesel v petrol vehicle,2
ev long market h2ice take clean efficient conversational fossil fuel ice ev fcv,2
sound like product advertisement interesting technology attitude government chinese prosperity longterm national interest american profit private interest dont think american ability chinese,2
hope true,2
good,2
fit watch,2
greeting support china people,2
happened 5050 engine desiel def corn sea weed thats natural gas,2
please let true,2
news toyota solid state battery,2
interesting,2
battery problem electricity still need generated somehow pure energy oil hand ev never solve world energy problem,2
good show,2
810 joke lose 1 30 full chargerecharge cycle lol,2
chinese ev battery like burn flame,2
sodium battery energy density 160 kwh per kg time stamp 300 amazing 1 kg sodium battery range 600 mile maybe spend time researching material writing script show idea taking,2
dose new battery capable handling high temperature level like middle east usa answer unfortunately السيليكون لا يتحمل الحراره العاليه,2
explode sure,2
want electric appliance make room electric car charge,2
catl use lithium new sodium battery use benefit,2
good 1hr,2
welcome china,2
sorry usa better get ass stop relying china microprocessor chip battery let go brandon,2
save table salt gon na stick lithium lol,2
circularity mining sustainable depleting resource slower rate save planet quick drive ev sustainable growth oxymoron clown world,2
bruh earbud case thumbnail cuz look like battery,2
better start learning mandarin,2
byd win byebye elon,2
battery cheap sodium imagine tesla half price 15000 dollar safe,2
거짓말 물리학은 우리에게 가르쳐줍니다 리튬의 질량이 소디움보다 약 3배 더 큽니다 그뜻은 더많은 전자를 이용한다는 말입니다 소디움은 만약 가능하다면 전력망 시스템에서 일부 사용될 수 있습니다 아주 희망적으로 봤을때 그정도의 위치에 있습니다 그런데 소디움 양극제 공정에 있어 중국의 기술은 매우 떨어집니다 어떡하지 중국 배터리 etf 는 도저히 살아날 방법이 없어보이는데 공매도 하고 빨리 떠나길,2
cut deal china cheap sodium ion battery guarantee access soda ash need winwin everything competition,2
chinese propaganda using word like expect host benefit game changer get excited need salt burger puncture one battery right trusting china bit sketchy since problem vehicle fire caused battery currently manufacturing chinese vehicle,2
know trust chinese everything fake,2
chinese invention ha ha never trust,2
